[ 2026-01-08 11:20:37,365 ] 22 networksecurity - INFO - Initiate the data Ingestion
[ 2026-01-08 11:20:43,142 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-08 11:20:43,142 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-08 11:20:43,142 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-08 11:20:43,174 ] 81 root - INFO - Exported train and test file path.
[ 2026-01-08 11:20:43,174 ] 24 networksecurity - INFO - Completed the data Ingestion
[ 2026-01-08 11:20:43,176 ] 29 networksecurity - INFO - Initiate the data Validation
[ 2026-01-08 11:20:43,186 ] 34 root - INFO - Required number of columns:2
[ 2026-01-08 11:20:43,186 ] 35 root - INFO - Data frame has columns:31
[ 2026-01-08 11:20:43,186 ] 34 root - INFO - Required number of columns:2
[ 2026-01-08 11:20:43,186 ] 35 root - INFO - Data frame has columns:31
[ 2026-01-08 11:20:43,265 ] 31 networksecurity - INFO - Completed the data Validation
[ 2026-01-08 11:20:43,265 ] 35 networksecurity - INFO - data Transformation started
[ 2026-01-08 11:20:43,265 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-08 11:20:43,265 ] 65 root - INFO - Starting data transformation
[ 2026-01-08 11:20:43,274 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-08 11:20:43,274 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-08 11:20:43,278 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-08 11:20:43,281 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-08 11:20:43,281 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-08 11:20:43,284 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-08 11:20:43,284 ] 39 networksecurity - INFO - data Transformation completed
[ 2026-01-08 11:20:43,284 ] 42 networksecurity - INFO - Model Training started
[ 2026-01-08 11:22:32,141 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-08 11:22:32,158 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-08 11:22:32,158 ] 110 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/20_01/08/26_2026_11_20_36/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914167424012925, precision_score=0.9889202256244963, recall_score=0.9939258959303503), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9759281925744594, precision_score=0.9699918896999189, recall_score=0.9819376026272578)) 
[ 2026-01-08 11:22:32,159 ] 47 networksecurity - INFO - Model Training artifact created
